date,calendar,heuristic,ml_model
2024-12-31,OCCUPIED,OCCUPIED,OCCUPIED
2025-01-01,OCCUPIED,OCCUPIED,OCCUPIED
2025-01-02,OCCUPIED,OCCUPIED,OCCUPIED
2025-01-03,OCCUPIED,OCCUPIED,OCCUPIED
2025-01-04,OCCUPIED,OCCUPIED,OCCUPIED
2025-01-05,OCCUPIED,OCCUPIED,OCCUPIED
2025-01-06,OCCUPIED,OCCUPIED,OCCUPIED
2025-01-07,OCCUPIED,OCCUPIED,OCCUPIED
2025-01-08,OCCUPIED,OCCUPIED,OCCUPIED
2025-01-09,NOT_OCCUPIED,NOT_OCCUPIED,NOT_OCCUPIED
2025-01-10,NOT_OCCUPIED,NOT_OCCUPIED,NOT_OCCUPIED
2025-01-11,NOT_OCCUPIED,NOT_OCCUPIED,NOT_OCCUPIED
2025-01-12,NOT_OCCUPIED,NOT_OCCUPIED,NOT_OCCUPIED
2025-01-13,NOT_OCCUPIED,NOT_OCCUPIED,NOT_OCCUPIED
2025-01-14,NOT_OCCUPIED,NOT_OCCUPIED,NOT_OCCUPIED
2025-01-15,NOT_OCCUPIED,NOT_OCCUPIED,NOT_OCCUPIED
2025-01-16,NOT_OCCUPIED,NOT_OCCUPIED,NOT_OCCUPIED
2025-01-17,NOT_OCCUPIED,NOT_OCCUPIED,NOT_OCCUPIED
2025-01-18,NOT_OCCUPIED,NOT_OCCUPIED,NOT_OCCUPIED
2025-01-19,NOT_OCCUPIED,NOT_OCCUPIED,NOT_OCCUPIED
2025-01-20,NOT_OCCUPIED,NOT_OCCUPIED,NOT_OCCUPIED
2025-01-21,NOT_OCCUPIED,NOT_OCCUPIED,NOT_OCCUPIED
2025-01-22,NOT_OCCUPIED,NOT_OCCUPIED,NOT_OCCUPIED
2025-01-23,NOT_OCCUPIED,NOT_OCCUPIED,NOT_OCCUPIED
2025-01-24,NOT_OCCUPIED,NOT_OCCUPIED,NOT_OCCUPIED
2025-01-25,NOT_OCCUPIED,NOT_OCCUPIED,NOT_OCCUPIED
2025-01-26,NOT_OCCUPIED,NOT_OCCUPIED,NOT_OCCUPIED
2025-01-27,NOT_OCCUPIED,NOT_OCCUPIED,NOT_OCCUPIED
2025-01-28,NOT_OCCUPIED,NOT_OCCUPIED,NOT_OCCUPIED
2025-01-29,NOT_OCCUPIED,NOT_OCCUPIED,NOT_OCCUPIED
2025-01-30,NOT_OCCUPIED,NOT_OCCUPIED,NOT_OCCUPIED
2025-01-31,NOT_OCCUPIED,NOT_OCCUPIED,NOT_OCCUPIED
2025-02-01,NOT_OCCUPIED,NOT_OCCUPIED,NOT_OCCUPIED
2025-02-02,NOT_OCCUPIED,NOT_OCCUPIED,NOT_OCCUPIED
2025-02-03,NOT_OCCUPIED,NOT_OCCUPIED,NOT_OCCUPIED
2025-02-04,NOT_OCCUPIED,NOT_OCCUPIED,NOT_OCCUPIED
2025-02-05,NOT_OCCUPIED,NOT_OCCUPIED,NOT_OCCUPIED
2025-02-06,NOT_OCCUPIED,NOT_OCCUPIED,NOT_OCCUPIED
2025-02-07,NOT_OCCUPIED,NOT_OCCUPIED,NOT_OCCUPIED
2025-02-08,NOT_OCCUPIED,NOT_OCCUPIED,NOT_OCCUPIED
2025-02-09,NOT_OCCUPIED,NOT_OCCUPIED,NOT_OCCUPIED
2025-02-10,NOT_OCCUPIED,NOT_OCCUPIED,NOT_OCCUPIED
2025-02-11,NOT_OCCUPIED,NOT_OCCUPIED,NOT_OCCUPIED
2025-02-12,NOT_OCCUPIED,NOT_OCCUPIED,NOT_OCCUPIED
2025-02-13,NOT_OCCUPIED,NOT_OCCUPIED,NOT_OCCUPIED
2025-02-14,NOT_OCCUPIED,NOT_OCCUPIED,NOT_OCCUPIED
2025-02-15,NOT_OCCUPIED,NOT_OCCUPIED,NOT_OCCUPIED
2025-02-16,NOT_OCCUPIED,NOT_OCCUPIED,NOT_OCCUPIED
2025-02-17,NOT_OCCUPIED,NOT_OCCUPIED,NOT_OCCUPIED
2025-02-18,NOT_OCCUPIED,NOT_OCCUPIED,NOT_OCCUPIED
2025-02-19,NOT_OCCUPIED,NOT_OCCUPIED,NOT_OCCUPIED
2025-02-20,NOT_OCCUPIED,NOT_OCCUPIED,NOT_OCCUPIED
2025-02-21,NOT_OCCUPIED,NOT_OCCUPIED,NOT_OCCUPIED
2025-02-22,NOT_OCCUPIED,NOT_OCCUPIED,NOT_OCCUPIED
2025-02-23,NOT_OCCUPIED,NOT_OCCUPIED,NOT_OCCUPIED
